learning_rate,max_depth,alpha,lambda,avg_val_auc_pr,avg_train_auc_pr
0.7100000000000001,2,0,1,0.34501043117135105,0.6895346255322983
0.7100000000000001,3,0,1,0.30278716569551467,0.8335366725577458
0.7100000000000001,4,0,1,0.2970054639004541,0.873189754343502
0.7100000000000001,5,0,1,0.32878886417511327,0.9561250687331068
0.7100000000000001,6,0,1,0.291496921088562,0.9867000890050897
0.76,1,0,1,0.26011569782796345,0.39794262002258046
0.76,2,0,1,0.3043272714262665,0.7007078848593585
0.76,3,0,1,0.2647003727170459,0.7964305682058551
0.76,4,0,1,0.316002540054296,0.9333802729991392
0.76,5,0,1,0.30759504843332097,0.9521041920257061
0.76,6,0,1,0.29709738911335226,0.9816806484301667
0.81,1,0,1,0.2613145812831045,0.39501160887582704
0.81,2,0,1,0.30765083623781675,0.6864785105900454
0.81,3,0,1,0.2987468225333241,0.8320231541494911
0.81,4,0,1,0.33961628218507733,0.9157639586267301
0.81,5,0,1,0.28882749081860953,0.9392882502397534
0.81,6,0,1,0.3056705559029708,0.9870224304974398
0.8600000000000001,1,0,1,0.2597188217971013,0.4017742431713482
0.8600000000000001,2,0,1,0.31223944731967934,0.719341063422346
0.8600000000000001,3,0,1,0.26978610059791286,0.8290213468243115
0.8600000000000001,4,0,1,0.2680521996623175,0.888755679590027
0.8600000000000001,5,0,1,0.2967954493556917,0.9497655292769288
0.8600000000000001,6,0,1,0.29485652651021627,0.9879213636437207
0.91,1,0,1,0.27123188410718985,0.4080610865033171
0.91,2,0,1,0.35320097026558395,0.7190218134704425
0.91,3,0,1,0.26472204672347543,0.8234257324358575
0.91,4,0,1,0.2533970645655225,0.8910951694587206
0.91,5,0,1,0.3207311214655223,0.9486464887501637
0.91,6,0,1,0.2562901398561686,0.981460020947798
0.9600000000000001,1,0,1,0.2643284089301167,0.3962511105155041
0.9600000000000001,2,0,1,0.2969475567661643,0.6780039777088805
0.9600000000000001,3,0,1,0.3083190258193651,0.8347834762634537
0.9600000000000001,4,0,1,0.26618771678785796,0.9290587528342871
0.9600000000000001,5,0,1,0.28935538382708986,0.9496257647934698
0.9600000000000001,6,0,1,0.2860138468728926,0.9901696803341581
1.01,1,0,1,0.26565727790389554,0.39974224673188363
1.01,2,0,1,0.25857469706124403,0.6730157757869323
1.01,3,0,1,0.2503237501661952,0.7708904628300234
1.01,4,0,1,0.2760337560874405,0.8994696974324775
1.01,5,0,1,0.2934691783785389,0.9402205486854104
1.01,6,0,1,0.2739552265438717,0.989865214384338
0.21,4,0,1,0.38889620626193055,0.8529635785419261
0.21,4,0,1,0.38889620626193055,0.8529635785419261
